Number,Indicate your gender,Please indicate your age,Who are you,1. Who is most commonly victimized by domestic violence?,2.What are common forms of domestic violence?,3.What are potential consequences of domestic violence for victims?,4.What factors contribute to the occurrence of domestic violence?,5. How can domestic violence be prevented?,6.Which organization provides assistance to domestic violence victims?,7.Which form of domestic violence is most prevalent?,8. What barriers may prevent domestic violence victims from seeking help?,9.What support options are available for witnesses of domestic violence?,10. What legal measures are in place to prevent domestic violence?,11. Which professionals can assist domestic violence victims?,12. What safety measures can help domestic violence victims?
1,Male,21-25,Worker,A) Women,A) Physical,B) Physical injuries,B) Inability to resolve conflicts peacefully,C) All of the above,A) Women's shelters,B) Emotional,B) Lack of information about available resources,B) Report to the police or social services,B) Increasing penalties for offenders,A) Psychologists,C) Both A and B
2,Male,21-25,Worker,A) Women,B) Emotional,A) Psychological problems,B) Inability to resolve conflicts peacefully,B) Support for victims,A) Women's shelters,A) Physical,A) Fear of retaliation from the abuser,B) Report to the police or social services,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,A) Psychologists,A) Creating an escape plan
3,Female,21-25,Worker,"B) Men, ",C) All of the above,B) Physical injuries,B) Inability to resolve conflicts peacefully,B) Support for victims,,A) Physical,B) Lack of information about available resources,A) Offer support and assistance to the victim,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,B) Social workers,B) Making a discreet call to the police
4,Female,21-25,Worker,B) Men,B) Emotional,A) Psychological problems,A) Inequality in relationships,A) Education and awareness,A) Women's shelters,A) Physical,A) Fear of retaliation from the abuser,A) Offer support and assistance to the victim,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,A) Psychologists,A) Creating an escape plan
5,Female,21-25,Worker,B) Men,A) Physical,A) Psychological problems,A) Inequality in relationships,A) Education and awareness,A) Women's shelters,A) Physical,A) Fear of retaliation from the abuser,A) Offer support and assistance to the victim,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,A) Psychologists,A) Creating an escape plan
6,Male,21-25,Worker,B) Men,B) Emotional,C) Both A and B,C) All of the above,B) Support for victims,B) Crisis centers,C) Psychological,B) Lack of information about available resources,B) Report to the police or social services,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,B) Social workers,C) Both A and B
7,Female,21-25,Worker,"A) Women, C) Children",C) All of the above,C) Both A and B,A) Inequality in relationships,B) Support for victims,A) Women's shelters,All of them ,A) Fear of retaliation from the abuser,C) Both A and B,C) All of the above,A) Psychologists,More people need to know about this problem 
8,Female,21-25,Worker,A) Women,A) Physical,A) Psychological problems,B) Inability to resolve conflicts peacefully,A) Education and awareness,A) Women's shelters,B) Emotional,A) Fear of retaliation from the abuser,B) Report to the police or social services,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,A) Psychologists,A) Creating an escape plan
9,Male,21-25,Worker,A) Women,C) All of the above,A) Psychological problems,C) All of the above,C) All of the above,C) All of the above,A) Physical,C) Both A and B,C) Both A and B,C) All of the above,A) Psychologists,C) Both A and B
10,Male,21-25,Worker,B) Men,A) Physical,B) Physical injuries,B) Inability to resolve conflicts peacefully,A) Education and awareness,C) All of the above,A) Physical,B) Lack of information about available resources,B) Report to the police or social services,A) Issuing restraining ordersB) Increasing penalties for offendersC) All of the above,C) Medical staff,B) Making a discreet call to the police
