Number,Indicate your gender,Please indicate your age,Who are you,1. Who is most commonly victimized by domestic violence?,2.What are common forms of domestic violence?,3.What are potential consequences of domestic violence for victims?,4.What factors contribute to the occurrence of domestic violence?,5. How can domestic violence be prevented?,6.Which organization provides assistance to domestic violence victims?,7.Which form of domestic violence is most prevalent?,8. What barriers may prevent domestic violence victims from seeking help?,9.What support options are available for witnesses of domestic violence?,10. What legal measures are in place to prevent domestic violence?,11. Which professionals can assist domestic violence victims?,12. What safety measures can help domestic violence victims?
-1.8219909196865134,2,2,4,0,0,1,1,3,0,4,1,2,2,0,2
-1.7869526327694651,2,2,4,0,1,0,1,1,0,0,0,2,1,0,0
-1.7168760589353684,0,2,4,7,1,0,0,0,0,0,0,1,1,0,0
-1.68183777201832,0,2,4,7,0,0,0,0,0,0,0,1,1,0,0
-1.6467994851012717,2,2,4,7,1,2,2,1,1,5,1,2,1,2,2
-1.6117611981842235,0,2,4,5,2,2,0,1,0,3,0,3,3,0,5
-1.576722911267175,0,2,4,0,0,0,1,0,0,4,0,2,1,0,0
-1.5416846243501268,2,2,4,0,2,0,2,3,2,0,2,3,3,0,2
-1.5066463374330783,2,2,4,7,0,1,1,0,2,0,1,2,1,3,1
-1.47160805051603,0,1,2,7,1,1,0,3,1,5,1,2,1,3,0
-1.366493189764885,0,2,4,1,0,0,0,0,0,0,0,1,1,0,0
-1.3314549028478366,0,2,4,5,2,2,2,0,1,0,0,3,3,0,2
-1.26137832901374,0,1,4,0,2,2,2,3,2,0,2,3,3,3,2
-1.2263400420966917,2,1,2,0,0,2,0,0,0,0,0,1,1,0,0
-1.1913017551796434,2,1,2,7,0,1,1,0,1,4,1,2,1,0,1
-1.156263468262595,0,1,2,7,1,0,1,0,1,4,1,1,2,2,1
-1.1212251813455467,0,2,4,0,0,1,1,0,4,0,0,2,3,0,2
-1.0861868944284983,0,2,4,0,0,0,0,1,1,0,0,1,2,2,1
-1.0161103205944018,2,1,2,5,0,2,2,3,2,0,2,3,3,3,2
-0.9810720336773534,0,1,2,0,0,2,2,1,1,5,1,1,3,2,1
-0.946033746760305,2,1,2,0,2,2,2,0,0,5,2,3,3,2,1
-0.9109954598432567,2,1,2,0,2,2,2,3,2,5,1,2,1,2,2
-0.8759571729262083,2,1,2,0,2,2,2,3,0,0,0,3,2,0,0
